file,line,owner,bound,destination,conditions,input_note
mediator.py,13835,游戏难度/误开选关,阶段切换,ROOM_WAITING(600s)/QUIT(240s),self._passenger_mode() and post_game is None and (not self._is_in_game_hud(frame)) and self._find_stage_page(frame),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13850,战后背包关闭,FSM关闭5s；战后总预算300s,关闭失败可重试；总预算不可续期,self._passenger_mode() and bag_blocks_post_game AND bag_open AND fsm.phase is PublicBagPhase.CLOSE_REQUESTED,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13863,战后背包关闭,FSM关闭5s；战后总预算300s,关闭失败可重试；总预算不可续期,self._passenger_mode() and bag_blocks_post_game AND bag_open,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13869,存档/HUD连续证据,2个不同帧；战后总预算300s,确认后路线推进,"post_game == 'ARCHIVE_PANEL' and self._post_game_archive_pending_only AND frame is getattr(self, '_prev_frame', None)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13873,存档/HUD连续证据,2个不同帧；战后总预算300s,确认后路线推进,post_game == 'ARCHIVE_PANEL' and self._post_game_archive_pending_only AND self._pending_archive_panel_frames < 2,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13886,存档/HUD连续证据,2个不同帧；战后总预算300s,确认后路线推进,"challenge_hud AND frame is getattr(self, '_prev_frame', None)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13890,存档/HUD连续证据,2个不同帧；战后总预算300s,确认后路线推进,challenge_hud AND self._post_game_hud_confirmations < 2,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13903,存档/HUD连续证据,2个不同帧；战后总预算300s,确认后路线推进,challenge_hud,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13929,未验证archive,战后总预算300s,按world软复位/退出,"not post_game and self._round_tail_checks_active() AND not getattr(self, '_post_game_pending', False) and getattr(self, '_post_game_route', '') not in {'boss_active', 'archive', 'archive_active', 'heirloom', 'heirloom_active'} and self.find_scene(frame, 'archive') AND self._passenger_mode()",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13959,传家宝后胜利,当前tick,hitch转QUIT,"post_game == 'POST_VICTORY' AND self._passenger_mode() and getattr(self, '_hitch_heirloom_exit_since', None) AND NOT (self._follow_enabled() and self.settings.auto_secret_realm)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13974,胜利继续,30s/3次重试；战后总预算300s,成功点击不续期总预算,"post_game == 'POST_VICTORY' AND self._post_game_pending and self._victory_continue_since is not None AND elapsed >= min(self.settings.query_timeout, 30) AND self._passenger_mode()",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13980,胜利继续,30s/3次重试；战后总预算300s,成功点击不续期总预算,post_game == 'POST_VICTORY' AND self._post_game_pending and self._victory_continue_since is not None,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13986,胜利继续,30s/3次重试；战后总预算300s,成功点击不续期总预算,post_game == 'POST_VICTORY' AND self._victory_continue_attempts >= 3 AND self._passenger_mode(),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13994,胜利继续,30s/3次重试；战后总预算300s,成功点击不续期总预算,post_game == 'POST_VICTORY' AND not hit,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14023,胜利继续,30s/3次重试；战后总预算300s,成功点击不续期总预算,post_game == 'POST_VICTORY',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14031,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,post_game == 'ARCHIVE_PANEL' AND not self._post_game_pending AND self._passenger_mode(),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14040,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,post_game == 'ARCHIVE_PANEL' AND self._team_mode_enabled() and (not self._hitch_postgame_hero_selected),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14050,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,"post_game == 'ARCHIVE_PANEL' AND getattr(self, '_post_game_route', '') == 'boss_active' AND NOT (self._passenger_mode())",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14067,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,"post_game == 'ARCHIVE_PANEL' AND not getattr(self, '_time_cave_boss_done', False) AND NOT (not configured_sgzx) AND now < self._boss_challenge_next_at",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14070,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,"post_game == 'ARCHIVE_PANEL' AND not getattr(self, '_time_cave_boss_done', False) AND NOT (not configured_sgzx) AND getattr(self, '_time_cave_boss_done', False)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14088,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,"post_game == 'ARCHIVE_PANEL' AND not getattr(self, '_time_cave_boss_done', False) AND NOT (not configured_sgzx) AND NOT (self._boss_challenge_attempts >= 3 or self._time_cave_boss_search_attempts >= 5)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14094,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,post_game == 'ARCHIVE_PANEL' AND self._post_game_close_attempts >= 3 AND self._passenger_mode(),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14102,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,post_game == 'ARCHIVE_PANEL' AND not close_hit,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14108,存档处理/关闭,Boss局部预算；战后总预算300s,转heirloom或继续等待,post_game == 'ARCHIVE_PANEL',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14115,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,post_game == 'NPC_HUB' AND not self._post_game_pending AND self._passenger_mode(),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14133,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,post_game == 'NPC_HUB' AND self._secret_realm_entering_since is not None,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14141,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,post_game == 'NPC_HUB' AND route == 'boss_postgame' and self._team_mode_enabled() AND not self._hitch_postgame_returned_to_base,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14150,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,"post_game == 'NPC_HUB' AND route in {'archive', 'heirloom'} AND entry is None",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14156,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,"post_game == 'NPC_HUB' AND route in {'archive', 'heirloom'}",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14166,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,"post_game == 'NPC_HUB' AND route in {'archive_active', 'heirloom_active'}",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14181,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,post_game == 'NPC_HUB' AND self.settings.auto_secret_realm and (not self._hitch_enabled()) AND now < self._secret_realm_next_observe_at,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14185,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,post_game == 'NPC_HUB' AND self.settings.auto_secret_realm and (not self._hitch_enabled()) AND not rift_npc,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14195,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,post_game == 'NPC_HUB' AND self.settings.auto_secret_realm and (not self._hitch_enabled()),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14200,NPC请求与路线,active等3s后重发；战后总预算300s,路线推进/QUIT,post_game == 'NPC_HUB',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14208,传家宝面板,按页重置Boss预算；战后总预算300s,关框后武装60/120s观察,"post_game == 'HEIRLOOM_DIALOG' AND getattr(self, '_post_game_route', '') == 'boss_active'",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14240,传家宝面板,按页重置Boss预算；战后总预算300s,关框后武装60/120s观察,post_game == 'HEIRLOOM_DIALOG' AND attempts >= 3 AND self._passenger_mode(),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14248,传家宝面板,按页重置Boss预算；战后总预算300s,关框后武装60/120s观察,post_game == 'HEIRLOOM_DIALOG' AND not close_hit,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14268,传家宝面板,按页重置Boss预算；战后总预算300s,关框后武装60/120s观察,post_game == 'HEIRLOOM_DIALOG',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14284,大秘境确认,请求3-15s/3次；取消3次,观察入境或ERROR；正常hitch不主动请求,post_game == 'GREAT_RIFT_CONFIRM' AND self.settings.auto_secret_realm and self._post_game_pending and self._secret_realm_request_pending AND now < self._secret_realm_confirm_next_observe_at,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14288,大秘境确认,请求3-15s/3次；取消3次,观察入境或ERROR；正常hitch不主动请求,post_game == 'GREAT_RIFT_CONFIRM' AND self.settings.auto_secret_realm and self._post_game_pending and self._secret_realm_request_pending AND not accept_hit,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14300,大秘境确认,请求3-15s/3次；取消3次,观察入境或ERROR；正常hitch不主动请求,post_game == 'GREAT_RIFT_CONFIRM' AND self.settings.auto_secret_realm and self._post_game_pending and self._secret_realm_request_pending,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14311,大秘境确认,请求3-15s/3次；取消3次,观察入境或ERROR；正常hitch不主动请求,post_game == 'GREAT_RIFT_CONFIRM' AND not cancel_hit,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14316,大秘境确认,请求3-15s/3次；取消3次,观察入境或ERROR；正常hitch不主动请求,post_game == 'GREAT_RIFT_CONFIRM',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14320,未知战后/传家宝入口,战后总预算300s,按world升级；发送入口不代表到达,post_game AND self._passenger_mode(),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14336,未知战后/传家宝入口,战后总预算300s,按world升级；发送入口不代表到达,"self._post_game_pending and getattr(self, '_post_game_route', '') == 'heirloom' AND entry is not None",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14408,表面冲突,2.5s可信降级；panel deadline,监督/整局截止,"surface == InteractionSurface.CONFLICT AND NOT (conflict_duration >= 2.5 and _opened_kind in ('skill', 'bond', 'treasure')) AND NOT (conflict_duration >= 2.5 and self._find_equipment_affix_choice(frame) is not None) AND conflict_duration >= conflict_deadline AND self._passenger_mode()",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14414,表面冲突,2.5s可信降级；panel deadline,监督/整局截止,"surface == InteractionSurface.CONFLICT AND NOT (conflict_duration >= 2.5 and _opened_kind in ('skill', 'bond', 'treasure')) AND NOT (conflict_duration >= 2.5 and self._find_equipment_affix_choice(frame) is not None) AND NOT (conflict_duration >= conflict_deadline)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14426,强制词缀/进化选择,局部节流/后置窗口,确认后推进；正常hitch不主动进化,surface == InteractionSurface.EQUIPMENT_AFFIX_MODAL AND affix is not None,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14427,强制词缀/进化选择,局部节流/后置窗口,确认后推进；正常hitch不主动进化,surface == InteractionSurface.EQUIPMENT_AFFIX_MODAL,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14434,强制词缀/进化选择,局部节流/后置窗口,确认后推进；正常hitch不主动进化,"NOT (surface == InteractionSurface.EQUIPMENT_AFFIX_MODAL) AND surface == InteractionSurface.HERO_CHOICE_MODAL AND now < getattr(self, '_evolution_next_at', 0.0)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14448,强制词缀/进化选择,局部节流/后置窗口,确认后推进；正常hitch不主动进化,NOT (surface == InteractionSurface.EQUIPMENT_AFFIX_MODAL) AND surface == InteractionSurface.HERO_CHOICE_MODAL AND evolution_choice is not None,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14462,未知仲裁表面,监督180s或整局截止,软复位或退出,"NOT (surface == InteractionSurface.EQUIPMENT_AFFIX_MODAL) AND NOT (surface == InteractionSurface.HERO_CHOICE_MODAL) AND NOT (surface == InteractionSurface.CENTER_CARD_MODAL) AND NOT (surface == InteractionSurface.MERCHANT) AND NOT (surface == InteractionSurface.RECOVERY_MODAL) AND surface not in (InteractionSurface.HUD_ONLY, InteractionSurface.MERCHANT)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14504,未验证archive,战后总预算300s,软复位或退出,"not anchor and self._round_tail_checks_active() AND getattr(self, '_post_game_route', '') != 'boss_active' and getattr(self, 'scenes', None) and ('archive' in self.scenes) and self.find_scene(frame, 'archive') AND self._passenger_mode()",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14524,继续后未知转场,战后总预算300s,game_round只软复位；其它可升级退出,"self._post_game_pending AND elapsed >= min(self.settings.query_timeout, 30) AND self._passenger_mode()",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14530,继续后未知转场,战后总预算300s,game_round只软复位；其它可升级退出,self._post_game_pending,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14550,选关保护,当前tick,STAGE_SELECT；正常hitch已前置QUIT,self._find_stage_page(frame) and (not self._is_in_game_hud(frame)),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14563,自动任务门禁,helper复查；监督180s,确认后下行,"not self._auto_task_done and (not self.settings.dry_run) and getattr(self.settings, 'auto_task', True) and (not getattr(self, '_skip_auto_task_gate', False)) AND self._panel_state == PanelState.CLOSED",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14603,开局保护,20s,继续局内循环,"not self.settings.dry_run and self._main_line_started_at is not None and (now - self._main_line_started_at < 20.0) and (not getattr(self.settings, 'skip_pre_wave_delay', False)) and getattr(self.settings, 'pre_wave_protection', False)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14620,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,self._passenger_mode() and self._l1_cycle_step == 'hitch_idle',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14629,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,self._l1_cycle_step == 'artifact',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14634,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,"self._l1_cycle_step == 'evolve' AND getattr(self, '_evolve_awaiting_hero_pick', False)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14646,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,"self._l1_cycle_step == 'evolve' AND getattr(self, '_evolve_feedback_pending', False) AND self._evolve_feedback_seen(frame)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14657,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,"self._l1_cycle_step == 'evolve' AND getattr(self, '_evolve_feedback_pending', False) AND now - self._evolve_click_at >= self._evolve_feedback_window_s AND self._evolve_fail_count >= 3",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14658,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,"self._l1_cycle_step == 'evolve' AND getattr(self, '_evolve_feedback_pending', False)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14660,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,"self._l1_cycle_step == 'evolve' AND now < getattr(self, '_evolve_click_cooldown_until', 0.0)",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14679,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,"self._l1_cycle_step == 'evolve' AND evolve_hit AND self.act_click(evolve_hit, 'ClickEvolve')",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14682,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,self._l1_cycle_step == 'evolve',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14687,主动循环/进化,步进或3次反馈预算/冷却,推进环；solo分支非正常hitch,self._l1_cycle_step == 'equipment' AND not self.settings.auto_weapon,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14699,公共背包,5/6/4/5s事务+30s租期,完成/中止/节流；下一循环,self._l1_cycle_step == 'public_bag' AND self._public_bag_fsm.active or (self._bag_layout(frame) is not None and now >= self._public_bag_next_at),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14701,公共背包,5/6/4/5s事务+30s租期,完成/中止/节流；下一循环,self._l1_cycle_step == 'public_bag',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14719,拾取,节流或直接步进,hitch转public_bag；不使用个人资产,self._l1_cycle_step == 'pickup' AND self._passenger_mode(),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14726,拾取,节流或直接步进,hitch转public_bag；不使用个人资产,self._l1_cycle_step == 'pickup',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14730,黑商,发现10s；FSM后置,无可买则转下一步,self._l1_cycle_step == 'merchant' AND now < self._merchant_next_at,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14736,黑商,发现10s；FSM后置,无可买则转下一步,self._l1_cycle_step == 'merchant' AND not self._black_merchant_present(frame) AND self._passenger_mode() AND self._merchant_discovery_deadline is None,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14738,黑商,发现10s；FSM后置,无可买则转下一步,self._l1_cycle_step == 'merchant' AND not self._black_merchant_present(frame) AND self._passenger_mode() AND now < self._merchant_discovery_deadline,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14741,黑商,发现10s；FSM后置,无可买则转下一步,self._l1_cycle_step == 'merchant' AND not self._black_merchant_present(frame),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14749,黑商,发现10s；FSM后置,无可买则转下一步,self._l1_cycle_step == 'merchant',可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14756,循环idle,15s状态步进；180s监督,只软复位或round deadline,self._main_line_since is not None and now - self._main_line_since >= 15.0,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,14758,循环idle,15s状态步进；180s监督,只软复位或round deadline,,可能零输入的保守超集；条件及前文见main_line_returns.csv
runtime_mediator.py,333,LIVE遥测,15s,Core已运行；不注入输入,self._runtime_watchdog_stalled,可能零输入的保守超集；条件及前文见main_line_returns.csv
runtime_mediator.py,346,LIVE遥测,15s,Core已运行；不注入输入,,可能零输入的保守超集；条件及前文见main_line_returns.csv
